title,Region,Region Name,Region Parent Name,price,bedrooms,bathrooms,property_size,furnishing,is_boost
"Furnished 6bdrm Duplex in Cooperative Estate, Alimosho for sale","Lagos State, Alimosho",Alimosho,Lagos State,180000000,6,7,300.0,Furnished,vip_gold
"5bdrm Block of Flats in Mercyland Estate, Alimosho for sale","Lagos State, Alimosho",Alimosho,Lagos State,40000000,5,5,300.0,Unfurnished,vip_gold
"Furnished 11bdrm Block of Flats in Mercy Land Estate, Alimosho for sale","Lagos State, Alimosho",Alimosho,Lagos State,120000000,11,11,1200.0,Furnished,vip_gold
"8bdrm Block of Flats in Ifesowapo Estate, Alimosho for sale","Lagos State, Alimosho",Alimosho,Lagos State,25000000,8,4,5000.0,Unfurnished,vip_gold
4bdrm Duplex in Gaduwa for sale,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),450000000,4,4,2000.0,semi-furnished,premium
6bdrm Bungalow in Ketu-Ikosi for sale,"Kosofe, Ketu-Ikosi",Ketu-Ikosi,Kosofe,40000000,6,2,250.0,Unfurnished,False
"4bdrm Duplex in Captains Court, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,Ajah,210000000,4,4,400.0,Unfurnished,False
"5bdrm Duplex in Captains Court, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,Ajah,320000000,5,5,400.0,Unfurnished,False
6bdrm Bungalow in Ipaja / Ipaja for sale,"Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,50000000,6,6,600.0,Unfurnished,diamond
5bdrm Townhouse/Terrace in Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,550000000,5,5,600.0,semi-furnished,enterprise
4bdrm Townhouse/Terrace in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),320000000,4,4,200.0,Unfurnished,premium
Furnished 4bdrm Townhouse/Terrace in Chesville Estate for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,13000000,4,4,350.0,Furnished,enterprise
4bdrm Bungalow in Gwarinpa for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),95000000,4,5,570.0,Unfurnished,False
6bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),700000000,6,6,450.0,Unfurnished,premium
"3bdrm Bungalow in Temidire Estate, Ologuneru for sale","Ibadan, Ologuneru",Ologuneru,Ibadan,100000000,3,3,500.0,Unfurnished,vip_gold
"4bdrm House in Liligold, Aniocha South for sale","Delta State, Aniocha South",Aniocha South,Delta State,40000000,4,6,3699.0,Unfurnished,False
3bdrm Apartment in Ikoyi S.W for sale,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,570000000,3,3,200.0,Unfurnished,vip
4bdrm Duplex in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,400000000,4,4,300.0,Unfurnished,vip
